stock_movement_id,product_id,warehouse_id,movement_type,reference_id,quantity_change,note,created_at,created_by
1,1,1,purchase,PO-2025-001,50,"Received new shipment from TechNova Electronics","2025-10-01 09:30:00",1
2,2,2,sale,SO-2025-015,-5,"Sold to retail partner order #SO-2025-015","2025-10-02 14:20:00",2
3,3,5,purchase,PO-2025-002,80,"Restocked Sony Headphones from PixelPro","2025-10-03 10:45:00",1
4,4,9,sale,SO-2025-021,-30,"Menâ€™s Slim Fit Jeans bulk order dispatched","2025-10-04 16:10:00",2
5,7,3,purchase,PO-2025-003,120,"Hydrating Face Cream order from GreenLeaf Organics","2025-10-05 11:55:00",1
6,14,2,return,RT-2025-004,3,"Customer return due to damaged packaging","2025-10-06 09:40:00",2
7,15,4,purchase,PO-2025-005,10,"New batch of sofas delivered from HomeEase Furniture","2025-10-07 13:20:00",1
8,16,6,sale,SO-2025-034,-40,"Shipped Organic Green Tea to online orders","2025-10-08 15:35:00",2
9,19,8,adjustment,ADJ-2025-006,-2,"Inventory adjustment due to damaged Yoga Mats","2025-10-09 08:50:00",1
10,21,5,purchase,PO-2025-007,100,"Wireless Mouse restock from PixelPro Tech Supplies","2025-10-10 12:10:00",2
11,3,1,sale,SO-2025-040,-25,"Bulk order to electronics distributor","2025-10-11 17:45:00",1
12,19,7,return,RT-2025-008,5,"Returned Yoga Mats from customer order #RT-2025-008","2025-10-12 10:25:00",2
